gene,CID,np_score
Mme,44380510,0.0100000046110921
Mme,443380,0.0100000046110921
Mme,44366964,0.0100000046110921
Mme,44366991,0.0100000046110921
Mme,3132,0.0100000046110921
Mme,189858,0.0100000046110921
Mme,44366992,0.0100000046110921
Mme,44367008,0.0100000046110921
Mme,44283986,0.0100000046110921
Mme,44266452,0.0100000046110921
Mme,44283752,0.0100000046110921
Mme,44283997,0.0100000046110921
Mme,44283801,0.0100000046110921
Mme,44283816,0.0100000046110921
Mme,44283817,0.0100000046110921
Mme,189858,0.0100000046110921
Mme,10408778,0.0100000046110921
Mme,44284126,0.0100000046110921
Mme,44283555,0.0100000046110921
Mme,44284112,0.0100000046110921
Mme,44266442,0.0100000046110921
Mme,132968,0.0100000046110921
Mme,44283952,0.0100000046110921
Mme,9884141,0.0100000046110921
Mme,44283977,0.0100000046110921
Mme,44283964,0.0100000046110921
Mme,44266429,0.0100000046110921
Mme,44283987,0.0100000046110921
Mme,44266464,0.0100000046110921
Mme,44283953,0.0100000046110921
Mme,10083884,0.0100000046110921
Mme,44284140,0.0100000046110921
Mme,9974559,0.0100000046110921
Mme,132968,0.0100000046110921
Mme,44364646,0.0100000046110921
Mme,44377126,0.0100000046110921
Mme,44376644,0.0100000046110921
Mme,44376688,0.0100000046110921
Mme,44376705,0.0100000046110921
Mme,10458734,0.0100000046110921
Mme,44376860,0.0100000046110921
Mme,44376945,0.0100000046110921
