,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
4182,Igf2r,-0.5495511354924927,0.0226071569475024,0.3323845880283354,1.6457540506421189,0.4783591217393847
4183,Acat2,0.3574409175756035,0.3127459515981332,0.854349200742669,0.5048083034090298,0.06836458252177419
4184,Lnpep,-0.077245439959791,0.7324598615398819,0.9688701290351568,0.13521616945762496,0.01373443349970472
4186,Chd1,-0.2207659995159985,0.3366038784727215,0.862448248061488,0.4728808842318617,0.06426695568152099
4187,Mpc1,0.2627278843840175,0.6410943831575138,0.9552884576647016,0.19307802809892843,0.01986546961404018
4188,Pde10a,-0.6330535633679785,0.0510944773641742,0.4925939013899255,1.2916260388061949,0.3075109692916744
4189,1700010I14Rik,-0.4277487574357578,0.6880765785129359,0.9606347599030124,0.16236322488243712,0.017441702767901197
4190,Zfp54,0.4540041988052449,0.3263110504190056,0.8586998066101963,0.4863682187198317,0.06615863490974978
4191,Phf10,0.05941120972788,0.7859243374204886,0.9752816895684556,0.10461926238611424,0.010869929371854771
4192,Thbs2,-1.060064943758534,0.0005377687927273,0.0324171164939068,3.2694044039341614,1.4892256183116515
4193,Smoc2,-0.3105383433587504,0.2926291235568078,0.8437042408951158,0.533682453430818,0.07380976789798757
4194,Zfp51,-0.1849178582822327,0.4804033927309147,0.9121340338090966,0.31839393416023914,0.03994133944941701
4195,Zscan10,-0.347701770124918,0.701946267158386,0.9629348394028008,0.15369613113194514,0.016403100046031148
4196,Mmp25,-0.1346929657389747,0.5661108788765432,0.9401987712866444,0.24709849925662616,0.026780320711879038
4197,Hcfc1r1,0.426038301921859,0.1705480406872853,0.7433257624282045,0.7681532655476313,0.12882081501553522
4198,Tnfrsf12a,0.4758697761725733,0.0590813333589279,0.5273244520128002,1.2285497120078464,0.27792208998464285
4199,Cldn6,0.0428342557751201,0.9261375492992272,0.9920576164804584,0.03332450741592416,0.0034631042642791886
4200,Pkmyt1,0.1558393228599777,0.8288438056579677,0.98226620905492,0.08152730386720095,0.007770795863036959
4201,Paqr4,0.3304592388943677,0.2596478680869333,0.8242807776056934,0.5856152389533148,0.08392482787328888
