protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,symbol1,symbol2
ENSMUSP00000000028,ENSMUSP00000000505,0.0,0.0,0.0,548.0,978.0,900.0,779.0,999.0,Cdc45,Mcm7
ENSMUSP00000000028,ENSMUSP00000000767,0.0,0.0,0.0,293.0,138.0,500.0,512.0,831.0,Cdc45,Rpa1
ENSMUSP00000000028,ENSMUSP00000134388,0.0,0.0,0.0,658.0,413.0,500.0,832.0,980.0,Cdc45,Chek1
ENSMUSP00000000028,ENSMUSP00000023867,0.0,0.0,0.0,313.0,62.0,0.0,733.0,812.0,Cdc45,Rfc2
ENSMUSP00000000028,ENSMUSP00000041377,0.0,0.0,0.0,368.0,0.0,0.0,845.0,897.0,Cdc45,Ticrr
ENSMUSP00000000028,ENSMUSP00000115750,0.0,0.0,0.0,422.0,0.0,0.0,746.0,847.0,Cdc45,Dna2
ENSMUSP00000000028,ENSMUSP00000058021,0.0,0.0,0.0,348.0,931.0,0.0,746.0,987.0,Cdc45,Timeless
ENSMUSP00000000028,ENSMUSP00000020980,0.0,0.0,0.0,700.0,0.0,0.0,414.0,816.0,Cdc45,Rrm2
ENSMUSP00000000028,ENSMUSP00000028045,0.0,0.0,0.0,0.0,0.0,0.0,812.0,812.0,Cdc45,Mrc1
ENSMUSP00000000028,ENSMUSP00000034132,0.0,0.0,0.0,204.0,262.0,500.0,901.0,967.0,Cdc45,Orc6
ENSMUSP00000000028,ENSMUSP00000099805,0.0,0.0,0.0,831.0,306.0,500.0,827.0,988.0,Cdc45,Orc1
ENSMUSP00000000028,ENSMUSP00000043896,0.0,0.0,0.0,481.0,244.0,0.0,690.0,867.0,Cdc45,Chtf18
ENSMUSP00000000028,ENSMUSP00000034742,0.0,0.0,0.0,416.0,93.0,0.0,665.0,807.0,Cdc45,Ccnb2
ENSMUSP00000000028,ENSMUSP00000039621,0.0,0.0,0.0,587.0,62.0,0.0,613.0,837.0,Cdc45,Rfc3
ENSMUSP00000000028,ENSMUSP00000026846,0.0,0.0,0.0,806.0,0.0,0.0,250.0,847.0,Cdc45,Tyms
ENSMUSP00000000028,ENSMUSP00000091469,0.0,0.0,0.0,657.0,0.0,500.0,951.0,990.0,Cdc45,Cdc6
ENSMUSP00000000028,ENSMUSP00000022612,0.0,0.0,0.0,775.0,53.0,0.0,195.0,813.0,Cdc45,Pbk
ENSMUSP00000000028,ENSMUSP00000048319,0.0,0.0,0.0,53.0,490.0,540.0,722.0,930.0,Cdc45,Orc3
ENSMUSP00000000028,ENSMUSP00000039376,0.0,0.0,0.0,871.0,0.0,0.0,654.0,953.0,Cdc45,Exo1
ENSMUSP00000000028,ENSMUSP00000034278,0.0,0.0,0.0,643.0,978.0,720.0,865.0,999.0,Cdc45,Gins2
ENSMUSP00000000028,ENSMUSP00000074978,0.0,0.0,0.0,405.0,803.0,0.0,597.0,948.0,Cdc45,Mcm9
ENSMUSP00000000028,ENSMUSP00000028098,0.0,0.0,0.0,159.0,59.0,500.0,854.0,934.0,Cdc45,Orc4
ENSMUSP00000000028,ENSMUSP00000030872,0.0,0.0,0.0,142.0,552.0,500.0,758.0,947.0,Cdc45,Orc5
ENSMUSP00000000028,ENSMUSP00000059192,0.0,0.0,0.0,461.0,978.0,900.0,968.0,999.0,Cdc45,Mcm3
ENSMUSP00000000028,ENSMUSP00000132906,0.0,0.0,0.0,176.0,130.0,500.0,940.0,975.0,Cdc45,Dbf4
ENSMUSP00000000028,ENSMUSP00000039776,0.0,0.0,0.0,310.0,558.0,0.0,656.0,885.0,Cdc45,Pold1
ENSMUSP00000000028,ENSMUSP00000027933,0.0,0.0,0.0,880.0,0.0,0.0,320.0,915.0,Cdc45,Dtl
ENSMUSP00000000028,ENSMUSP00000044363,0.0,0.0,0.0,449.0,168.0,0.0,936.0,968.0,Cdc45,Recql4
ENSMUSP00000000028,ENSMUSP00000027312,0.0,0.0,0.0,686.0,0.0,500.0,653.0,940.0,Cdc45,Prim2
ENSMUSP00000000028,ENSMUSP00000021359,0.0,0.0,0.0,589.0,946.0,500.0,789.0,997.0,Cdc45,Pole2
ENSMUSP00000000028,ENSMUSP00000118312,0.0,0.0,0.0,116.0,978.0,0.0,447.0,988.0,Cdc45,Slf1
ENSMUSP00000000028,ENSMUSP00000026416,0.0,0.0,0.0,421.0,93.0,500.0,690.0,907.0,Cdc45,Cdk2
ENSMUSP00000000028,ENSMUSP00000113385,0.0,0.0,0.0,290.0,178.0,500.0,930.0,976.0,Cdc45,Cdc7
ENSMUSP00000000028,ENSMUSP00000020099,0.0,0.0,0.0,709.0,69.0,0.0,597.0,881.0,Cdc45,Cdk1
ENSMUSP00000000028,ENSMUSP00000066679,0.0,0.0,0.0,301.0,282.0,0.0,752.0,864.0,Cdc45,Chek2
ENSMUSP00000000028,ENSMUSP00000093462,0.0,0.0,0.0,61.0,168.0,500.0,603.0,824.0,Cdc45,Pole4
ENSMUSP00000000028,ENSMUSP00000027198,0.0,0.0,0.0,419.0,534.0,500.0,664.0,948.0,Cdc45,Orc2
ENSMUSP00000000028,ENSMUSP00000117246,0.0,0.0,0.0,530.0,0.0,0.0,660.0,833.0,Cdc45,Fen1
ENSMUSP00000000028,ENSMUSP00000006856,0.0,0.0,0.0,396.0,670.0,500.0,730.0,969.0,Cdc45,Pola1
ENSMUSP00000000028,ENSMUSP00000026461,0.0,0.0,0.0,467.0,0.0,500.0,736.0,923.0,Cdc45,Prim1
ENSMUSP00000000049,ENSMUSP00000034585,0.0,0.0,0.0,620.0,0.0,720.0,516.0,944.0,Apoh,Apoa4
ENSMUSP00000000049,ENSMUSP00000068971,0.0,0.0,0.0,788.0,0.0,0.0,621.0,916.0,Apoh,Serpinc1
ENSMUSP00000000049,ENSMUSP00000015712,0.0,0.0,0.0,0.0,42.0,900.0,217.0,918.0,Apoh,Lpl
ENSMUSP00000000049,ENSMUSP00000022616,0.0,0.0,0.0,71.0,45.0,720.0,631.0,896.0,Apoh,Clu
ENSMUSP00000000049,ENSMUSP00000118305,0.0,0.0,0.0,199.0,0.0,720.0,501.0,878.0,Apoh,Apoc2l
ENSMUSP00000000049,ENSMUSP00000014578,0.0,0.0,0.0,756.0,232.0,720.0,522.0,971.0,Apoh,Plg
ENSMUSP00000000049,ENSMUSP00000023583,0.0,0.0,0.0,811.0,0.0,0.0,561.0,913.0,Apoh,Ahsg
ENSMUSP00000000049,ENSMUSP00000036044,0.0,0.0,0.0,704.0,0.0,720.0,642.0,967.0,Apoh,Apob
